formula,Egap
Ca1H3Li1,2.5543
Fe3H8O12P2,2.5423
Ge2Hg3K2Se8,0.9913
C1Sn1,0.0914
B3Bi1O6,3.9421
Nd2O7Pt2,1.3734
Gd2Se3,0.1791
Al1Li1O2,4.5948
Ba1Co4Ho1O7,0.4798
O7Pr3Re1,0.6104
Br1Eu3O4,0.5508
Ba3S5Ti1,1.3784
Au2Cd1F12,1.9875
I1N1Sr2,1.7861
Cs3F5Li2,5.7901
Cs2I14Mo6,2.2272
Bi2O9Sr1Ta2,2.0647
Cd1Cs1F3,3.5584
Ga3Ru1,0.3056
Cl2Cu5O12Se4,1.0268
Ba2Na1Ni3O6,1.0629
Ce2O3,2.821
Cu1Dy3Ge1S7,1.8863
Ce2S3,0.8513
Cr1Li1O2,4.1076
H3Na1O6Si2,5.0622
Cl3S8Sb1,2.8329
Au2F8Hg1,2.0808
Ag1In5Te8,0.3419
As2Cd1F12O4S2,3.5005
Hf1O2,4.0088
Cd1O14P4V2,1.8051
C5H1Mn1O5,4.2566
Ba7Ir6O19,0.2749
Cu1O6Pt1Sr3,1.25
As1Se4Tl3,0.7445
Cl9Nb1Te1,2.3882
F1Fe1O3Sr2,0.6948
Br1Rb1,3.9573
Ge3O25P6Si2,4.0639
B2O6Sr3,4.3897
As1Br3F6,1.6074
Au1F12Sb2Xe2,1.5712
C1K2N2,3.172
Ca9Fe1O28P7,2.0715
O4Sb2Zn1,2.5812
Ba3O9Sr1Ta2,3.9238
Au3Sb4Tb3,0.4553
Cl4Cr2H34N8O6,0.4291
I4O1Ta4Te9,0.5945
Cr1O4Tl2,2.3828
Cl6K2Pd1,1.1208
Ba1Dy2Se4,1.374
Au1Rb2S4Sb1,1.6334
Nb2O6Zn1,3.6269
Ba1O4S1,5.9603
Ca1Cu3O12Sn4,0.7976
H3Li4Mg1N3,2.6161
Au1C2Na1,1.5531
Al4C3,1.3187
Ba1Cl1F1,5.45
Cu2O5S1,1.146
Mo1O7Te1Zn2,3.3963
C12O12Ru4Se4,2.1881
Bi2Cs1Cu1S4,0.7473
O7Ta2Th1,3.013
Ca2Pb1,0.0263
Cr2Si2Te6,0.6121
Cd1H2O4Se1,3.9324
